feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
polarization_score,Content: Polarization Score,0.09049779644564188,0.015159124391886606,0.012601786767475814,0.05555596203692725,0.0476002772804163,0.10946966385136053,0.0551474351289514
primary_topic,Content: Primary Topic,0.029396996262543957,0.01532469167954977,0.011959802149418178,0.017066336791160833,0.028922747434308584,0.03405226780580304,0.02278714035379739
toxicity,Toxicity: Toxicity,0.0128631909885453,0.009388585086978237,0.008413113080333792,0.038546043733405554,0.02611756205079745,0.007219048276693525,0.01709125720279231
author_political_leaning,Author: Political Leaning,0.018409586924184162,0.006331797782130878,0.0037119873204132874,0.009404923581544426,0.013349227810710513,0.02476283455309858,0.012661726328680309
avg_word_length,Text: Avg Word Length,0.008481060771404179,0.0054626967353830665,0.00202787901740077,0.00244750039380804,0.03274127889100001,0.01017428993438978,0.010222450957230974
sentiment_polarity,Sentiment: Polarity,0.013912334704117624,0.0029049751523386354,0.0033610278366824234,0.01652909472340728,0.0012266976777088353,0.013399233644776564,0.008555560623171895
sentiment_subjectivity,Sentiment: Subjectivity,0.00229218643075304,0.0025629562765123763,0.003292821922985299,0.0033814191195195636,0.01513272593198097,0.0029840889179423543,0.004941033099948934
has_url,Style: Has URL,0.0018820280861994566,0.006215789500105213,0.0003570431777436091,0.0003523299952322207,0.01369087915206246,0.0003828826199394683,0.003813492088547071
author_is_minority,Author: Is Minority,0.0037536242999733353,0.0005089835470975251,0.00041305108461926277,0.002287265895512104,0.0033020240672625677,0.005399678526892292,0.002610771236892848
author_gender,Author: Gender,0.0008270409182450095,0.0024408723069904875,0.0008484667184104983,0.00034007681757224686,0.0036013362182677855,0.0028120686588373658,0.0018116436063872322
has_emoji,Style: Has Emoji,0.0012087486317745788,0.0003527083100102505,0.002068660424806294,0.00029891283093557574,0.0021706900130683483,0.0021302244247076935,0.0013716574392171235
has_hashtag,Style: Has Hashtag,0.0007227294642035221,0.0006405952866120963,8.751688153116948e-05,0.0003571498227690143,0.0012903081124657325,0.0005131661416415726,0.0006019109515371845
has_mention,Style: Has Mention,0.0003052826843799447,0.0004828941428299294,0.00020772897237995616,0.00013257235421857566,0.00034102280214721314,0.00041350793319253374,0.0003138348148580255
Mean Across Features,Mean Across Features,0.014196354354766611,0.005213590015263466,0.0037962219503231047,0.011284583699693283,0.014575905957092057,0.016439458099175023,0.010917685679385593
